ts,sym,side,qty,px
2021-01-03 09:30:00,BTC_USDT,BUY,0.15936156,31828.469
2021-01-03 11:45:00,BTC_USDT,SELL,0.15936156,31483.748
2021-01-03 12:15:00,BTC_USDT,BUY,0.15746802,31862.488
2021-01-03 12:30:00,BTC_USDT,SELL,0.15746802,31463.986
2021-01-03 12:45:00,BTC_USDT,BUY,0.15584068,31792.953
2021-01-03 13:15:00,BTC_USDT,SELL,0.15584068,31504.262
2021-01-03 14:00:00,BTC_USDT,BUY,0.15400937,31878.63
2021-01-03 15:00:00,BTC_USDT,SELL,0.15400937,31587.617
2021-01-03 15:15:00,BTC_USDT,BUY,0.1525648,31887.219
2021-01-03 15:45:00,BTC_USDT,SELL,0.1525648,31580.582
2021-01-03 16:30:00,BTC_USDT,BUY,0.15070632,31969.344
2021-01-03 19:00:00,BTC_USDT,SELL,0.15070632,31654.518
2021-01-03 19:15:00,BTC_USDT,BUY,0.1488192,32055.68
2021-01-03 19:45:00,BTC_USDT,SELL,0.1488192,31686.258
2021-01-03 20:00:00,BTC_USDT,BUY,0.14703016,32071.979
2021-01-03 20:30:00,BTC_USDT,SELL,0.14703016,31659.035
2021-01-03 21:00:00,BTC_USDT,BUY,0.14554887,31981.89
2021-01-03 21:45:00,BTC_USDT,SELL,0.14554887,31677.336
2021-01-03 22:00:00,BTC_USDT,BUY,0.144202,31973.342
2021-01-03 22:15:00,BTC_USDT,SELL,0.144202,31544.2
2021-01-03 22:45:00,BTC_USDT,BUY,0.14280626,31852.496
2021-01-04 00:15:00,BTC_USDT,SELL,0.14280626,31457.666
2021-01-04 01:15:00,BTC_USDT,BUY,0.14132787,31786.01
2021-01-04 02:15:00,BTC_USDT,SELL,0.14132787,31381.438
2021-01-04 02:30:00,BTC_USDT,BUY,0.1391267,31876.234
2021-01-04 03:30:00,BTC_USDT,SELL,0.1391267,31444.36
2021-01-04 03:45:00,BTC_USDT,BUY,0.13694099,31946.166
2021-01-04 04:45:00,BTC_USDT,SELL,0.13694099,31556.467
2021-01-04 05:15:00,BTC_USDT,BUY,0.13519594,31964.934
2021-01-04 07:15:00,BTC_USDT,SELL,0.13519594,31467.252
2021-01-04 07:30:00,BTC_USDT,BUY,0.13364615,31832.73
2021-01-04 08:30:00,BTC_USDT,SELL,0.13364615,31406.7
2021-01-04 08:45:00,BTC_USDT,BUY,0.13220859,31748.434
